n_codigo,x_nombre,n_estado
176,Carrera De Administración,1
177,Carrera De Arquitectura,1
178,Carrera De Comunicación,1
179,Carrera De Contabilidad Y Finanzas,1
180,Carrera De Derecho,1
181,Carrera De Economía,1
182,Carrera De Educación Inicial Intercultural Bilingüe,1
183,Carrera De Educación Primaria Intercultural Bilingüe,1
184,Carrera De Ingeniería Civil,1
185,Carrera De Ingeniería De Sistemas,1
186,Carrera De Ingeniería Industrial,1
187,Carrera De Ingeniería Informática,1
188,Carrera De Marketing,1
189,Carrera De Negocios Internacionales,1
190,Carrera De Psicología,1
191,Carrera Profesional De Administración En Salud,1
192,Carrera Profesional De Biología,1
193,Carrera Profesional De Biología Marina,1
194,Carrera Profesional De Biotecnología,1
195,Carrera Profesional De Ciencia E Ingeniería De Los Materiales (Cim),1
196,Carrera Profesional De Educación Inicial,1
197,Carrera Profesional De Educación Primaria,1
198,Carrera Profesional De Enfermería,1
199,Carrera Profesional De Estomatología,1
200,Carrera Profesional De Farmacia Y Bioquímica,1
201,Carrera Profesional De Ingeniería Acuícola,1
202,Carrera Profesional De Ingeniería Ambiental,1
203,Carrera Profesional De Ingeniería Biomédica,1
204,Carrera Profesional De Medicina Veterinaria Y Zootecnia,1
205,Carrera Profesional De Nutrición,1
206,Carrera Profesional De Psicología,1
207,Carrera Profesional De Química,1
208,Carrera Profesional De Salud Pública Y Salud Global,1
209,Carrera Profesional De Tecnología Médica En La Especialidad De Laboratorio Clínico Y Anatomía Patológica,1
210,Carrera Profesional De Tecnología Médica En La Especialidad De Radiología,1
211,"Carrera Profesional De Tecnología Médica En La Especialidad De Terapia De Audición, Voz Y Lenguaje",1
212,Carrera Profesional De Tecnología Médica En La Especialidad De Terapia Física Y Rehabilitación,1
213,Carrera Profesional De Tecnología Médica En La Especialidad De Terapia Ocupacional,1
214,Centro Quirúrgico,1
215,Ciencia Animal,1
216,Ciencia De Alimentos,1
217,Ciencia De Datos,1
218,Ciencia De La Computación,1
219,Ciencia De Los Alimentos,1
220,Ciencia Política,1
221,Ciencia Política Y Gobernabilidad,1
222,Ciencia Política Y Gobierno,1
223,Ciencia Política Y Gobierno Con Mención En Gerencia Pública,1
224,Ciencia Política Y Gobierno Con Mención En Instituciones Políticas,1
225,Ciencia Política Y Gobierno Con Mención En Políticas Públicas Y Gestión Pública,1
226,Ciencia Política Y Relaciones Internacionales,1
227,Ciencia Política Y Relaciones Internacionales Con Mención En Política Comparada,1
228,Ciencia Política Y Relaciones Internacionales Con Mención En Relaciones Internacionales,1
229,Ciencia Y Tecnología De Alimentos,1
230,Ciencias Administrativas,1
231,Ciencias Aeronáuticas,1
232,Ciencias Agrarias,1
233,Ciencias Ambientales,1
234,Ciencias Biológicas,1
235,Ciencias Contables,1
236,Ciencias Contables Y Empresariales,1
237,Ciencias Contables Y Financieras,1
238,Ciencias Contables Y Financieras Con Mención En Contabilidad Y Comercio Global,1
239,Ciencias Contables Y Financieras Con Mención En Finanzas E Inversiones Internacionales,1
240,Ciencias Contables Y Financieras Con Mención En Gestión De Riesgos Y Auditoría Integral,1
241,Ciencias Contables Y Financieras Con Mención En Gestión De Riesgos Y Auditoría Integral (Virtual: Semipresencial),1
242,Ciencias Contables Y Financieras Con Mención En Tributación Fiscal Y Empresarial,1
243,Ciencias Contables Y Financieras Con Mención En Tributación Fiscal Y Empresarial (Virtual: Semipresencial),1
244,Ciencias De La Actividad Física Y Del Deporte,1
245,Ciencias De La Actividad Física Y El Deporte,1
246,Ciencias De La Computación,1
247,Ciencias De La Comunicación,1
248,Ciencias De La Comunicación Con Especialidad En Periodismo,1
249,Ciencias De La Comunicación Con Especialidad En Relaciones Públicas,1
250,Ciencias De La Comunicación Social,1
251,Ciencias De La Educación,1
252,Ciencias De La Educación En Ciencias Biológicas Y Química,1
253,Ciencias De La Educación En Educación Artística,1
254,Ciencias De La Educación En Educación Física,1
255,Ciencias De La Educación En Educación Inicial,1
256,Ciencias De La Educación En Educación Primaria,1
257,"Ciencias De La Educación En Filosofía, Psicología Y Ciencias Sociales",1
258,Ciencias De La Educación En Historia Y Geografía,1
259,Ciencias De La Educación En Lengua Y Literatura,1
260,Ciencias De La Educación En Matemática E Informática,1
261,Ciencias De La Educación Nivel Secundaria Especialidad Lengua Inglesa,1
262,"Ciencias De La Educación, Nivel Primaria",1
263,"Ciencias De La Educación, Nivel Secundaria Especialidad Historia Y Ciencias Sociales",1
264,"Ciencias De La Educación, Nivel Secundaria Especialidad Matemática Y Física",1
265,Ciencias De La Educación. Nivel Inicial,1
266,Ciencias De La Educación. Nivel Secundaria. Especialidad Lengua Y Literatura,1
267,Ciencias De La Electrónica Con Mención En Control Y Automatización,1
268,Ciencias De La Electrónica Con Mención En Ingeniería Biomédica,1
269,Ciencias De La Electrónica Con Mención En Telecomunicaciones,1
270,Ciencias De La Gestión Económico Empresarial,1
271,Ciencias De La Información,1
272,Ciencias De La Nutrición,1
273,Ciencias De La Salud,1
274,Ciencias De La Salud Con Mención En Educación Para La Salud,1
275,Ciencias Del Deporte,1
276,Ciencias E Ingeniería Biológicas,1
277,"Ciencias Económicas Y Sociales, Mención: Economía Y Sociología",1
278,Ciencias Estomatológicas,1
279,Ciencias Farmacéuticas,1
280,Ciencias Farmacéuticas Y Bioquímica,1
281,Ciencias Fiscalizadoras Con Mención En Auditoría Gubernamental,1
282,Ciencias Fiscalizadoras Con Mención En Auditoría Integral Empresarial,1
283,Ciencias Físico Matemáticas: Física,1
284,Ciencias Físico Matemáticas: Matemáticas,1
285,Ciencias Forestales Y Del Ambiente,1
286,Ciencias Gastronómicas,1
287,Ciencias Histórico Sociales,1
288,Ciencias Histórico Sociales Y Geográficas,1
289,Ciencias Médicas,1
290,Ciencias Para El Desarrollo Sustentable,1
291,Ciencias Penales,1
292,Ciencias Políticas,1
293,Ciencias Químicas,1
294,Ciencias Sociales,1
295,Ciencias Sociales Y Desarrollo Rural,1
296,Ciencias Veterinarias,1
297,Ciencias Y Tecnologías De La Comunicación,1
298,Cinematografía,1
299,Cirugía,1
300,Cirugía Bucal Y Maxilofacial,1
301,Cirugía Buco Máxilo Facial,1
302,Cirugía De Cabeza Y Cuello,1
303,"Cirugía De Cabeza, Cuello Y Maxilofacial",1
304,"Cirugía De Colon, Recto Y Ano",1
305,Cirugía De Mano,1
306,Cirugía De Retina Y Vítreo,1
307,Cirugía De Tórax Oncológica,1
308,Cirugía De Tórax Y Cardiovascular,1
309,Cirugía General,1
310,Cirugía Hepatopancreatobiliar Y Transplante,1
311,Cirugía Oncológica,1
312,Cirugía Oncológica Abdominal,1
313,Cirugía Oncológica De Cabeza Y Cuello,1
314,"Cirugía Oncológica De Mamas, Tejidos Blandos Y Piel",1
315,Cirugía Pediátrica,1
316,Cirugía Plástica,1
317,Cirugía Plástica Y Reconstructiva,1
318,Citología,1
319,Clínica De Animales Menores,1
320,Clínica Quirúrgica De Pequeños Animales,1
321,Clínica Y Patología Aviar,1
322,"Cognición, Aprendizaje Y Desarrollo",1
323,Comercio Internacional Y Aduanas,1
324,Comercio Y Negociaciones Internacionales,1
325,Comercio Y Negocios Internacionales,1
326,Complementación Académica (Bachillerato),1
327,Complementación Pedagógica,1
328,Complementación Universitaria,1
329,Complementación Universitaria En Archivística Y Gestión Documental,1
330,Computación Científica,1
331,Computación E Informática,1
332,Comunicación,1
333,Comunicación Audiovisual,1
334,Comunicación Audiovisual En Medios Digitales,1
335,Comunicación Audiovisual Y Medios Interactivos,1
336,Comunicación Corporativa,1
337,Comunicación E Imagen Empresarial,1
338,Comunicación En Salud,1
339,Comunicación Integral,1
340,Comunicación Para El Desarrollo,1
341,Comunicación Social,1
342,Comunicación Y Diseño Gráfico,1
343,Comunicación Y Fotografía,1
344,Comunicación Y Marketing,1
345,Comunicación Y Medios Digitales,1
346,Comunicación Y Periodismo,1
347,Comunicación Y Publicidad,1
348,"Comunicación, Matemática Y Ciencia - Nivel De Educación Primaria",1
349,Comunicaciones,1
350,Comunicaciones De Marketing,1
351,Conservación De Recursos Forestales,1
352,Conservación Y Restauración,1
353,Conservación Y Restauración De Monumentos Históricos Y Artísticos,1
354,Contabilidad,1
355,Contabilidad Con Mención En Finanzas,1
356,Contabilidad Empresarial,1
357,Contabilidad Financiera,1
358,Contabilidad Gerencial,1
359,Contabilidad Y Administración,1
360,Contabilidad Y Auditoría,1
361,Contabilidad Y Finanzas,1
362,Contabilidad Y Finanzas (Virtual: Semipresencial),1
363,"Contabilidad, Gestión Tributaria Y Aduanera",1
364,"Contabilidad, Mención: Auditoría",1
365,Corporate Master Of Business Administration (Cmba),1
366,Creación Y Producción Escénica,1
367,Crecimiento Y Desarrollo,1
368,Cuidado Enfermero En Crecimiento Y Desarrollo,1
369,Cuidado Enfermero En Emergencias Y Desastres,1
370,Cuidado Enfermero En Estimulación Temprana,1
371,Cuidado Enfermero En Gastroenterología Con Mención En Endoscopia Y Procedimientos Especiales,1
372,Cuidado Enfermero En Neonatología,1
373,Cuidado Enfermero En Oncología,1
374,Cuidado Enfermero En Paciente Crítico,1
375,Cuidado Enfermero En Paciente Crítico Con Mención En Adulto,1
376,Cuidado Enfermero En Paciente Quemado,1
377,Cuidado Enfermero Nefrológico Y/O Urológico,1
378,Cuidados Intensivos,1
379,Cuidados Intensivos - Adulto,1
380,Cuidados Intensivos - Neonatología,1
381,Danza,1
382,Defensa Nacional,1
383,Derecho,1
384,Derecho (Horario Diferenciado),1
385,Derecho Administrativo,1
386,Derecho Bancario Y Financiero,1
387,Derecho Bancario Y Financiero Con Mención En Gestión Financiera,1
388,Derecho Bancario Y Financiero Con Mención En Regulación Bancaria,1
389,Derecho Civil,1
390,Derecho Civil Y Comercial,1
391,Derecho Con Mención En Política Jurisdiccional,1
392,Derecho Con Mención En Política Jurisdiccional Especialidad En Gestión Y Política Judicial,1
393,Derecho Constitucional,1
394,Derecho Constitucional Y Administrativo,1
395,Derecho Corporativo,1
396,Derecho De Familia,1
397,Derecho De La Empresa,1
398,Derecho De La Empresa Con Mención En Responsabilidad Social,1
399,Derecho De La Empresa: Banca Y Finanzas,1
400,Derecho De La Empresa: Gestión Empresarial,1
401,Derecho De La Empresa: Regulación De Negocios,1
402,Derecho De La Propiedad Intelectual Y De La Competencia,1
403,Derecho Del Trabajo,1
404,Derecho Del Trabajo Y De La Seguridad Social,1
405,Derecho En Ciencias Penales (Virtual: Semipresencial),1
406,Derecho Internacional Económico,1
407,Derecho Laboral Y Gestión Legal De Recursos Humanos,1
408,Derecho Penal,1
409,Derecho Procesal,1
410,Derecho Procesal Constitucional Y Administrativo,1
411,Derecho Procesal Penal,1
412,Derecho Registral Y Notarial,1
413,Derecho Tributario,1
414,Derecho Tributario Y Fiscalidad Internacional,1
415,Derecho Y Ciencia Política,1
416,Derecho Y Ciencias Políticas,1
417,"Derecho, Mención En Ciencias Penales",1
418,Derechos Humanos,1
419,Derechos Humanos Con Mención En Pueblos Indígenas,1
420,Dermatología,1
421,Dermatología Pediátrica,1
422,Desarrollo Ambiental,1
423,Desarrollo Humano: Enfoques Y Políticas,1
424,Didáctica De La Enseñanza De La Física Y Matemática,1
425,Didáctica De La Matemática Para La Educación Primaria,1
426,Dirección De Cadenas De Aprovisionamiento,1
427,Dirección De Empresas Industriales Y De Servicios,1
428,Dirección De Marketing,1
429,Dirección De Operaciones Productivas,1
430,Dirección Estratégica De Las Telecomunicaciones,1
431,Dirección Estratégica Y Liderazgo,1
432,Dirección Financiera Y Contable,1
433,Dirección Y Administración De Empresas (Mba) (Virtual: Semipresencial),1
434,Diseño Digital Publicitario,1
435,Diseño Gráfico,1
436,Diseño Gráfico Publicitario,1
437,Diseño Industrial,1
438,Diseño Profesional De Interiores,1
439,Diseño Profesional Gráfico,1
440,Diseño Y Construcción De Obras Viales,1
441,Diseño Y Evaluación Curricular,1
442,Diseño Y Gestión De Marca,1
443,Diseño Y Gestión En Moda,1
444,Docencia Del Idioma Inglés,1
445,Docencia E Investigación En Salud,1
446,Docencia Superior Y Universitaria,1
447,Docencia Universitaria,1
448,Docencia Y Gestión Universitaria,1
449,Doctor En Ciencias,1
450,Doctorado De Ciencias De Enfermería,1
451,Doctorado En Administración,1
452,Doctorado En Administración (Dba),1
453,Doctorado En Administración De Negocios,1
454,Doctorado En Administración De Negocios Globales,1
455,Doctorado En Ambiente Y Desarrollo Sostenible,1
456,Doctorado En Antropología,1
457,Doctorado En Arquitectura,1
458,Doctorado En Arquitectura Y Dinámicas Urbanas,1
459,Doctorado En Arquitectura Y Urbanismo,1
460,Doctorado En Bienestar Social Y Desarrollo Local,1
461,Doctorado En Biología,1
462,Doctorado En Biología Ambiental,1
463,Doctorado En Biotecnología,1
464,Doctorado En Ciencia Animal,1
465,Doctorado En Ciencia E Ingeniería De La Computación,1
466,Doctorado En Ciencia Política Y Relaciones Internacionales,1
467,Doctorado En Ciencia Y Tecnología De Los Alimentos,1
468,"Doctorado En Ciencia, Tecnología Y Medio Ambiente",1
469,Doctorado En Ciencias Administrativas Con Mención En Dirección De Empresas,1
470,Doctorado En Ciencias Agrarias,1
471,Doctorado En Ciencias Agropecuarias,1
472,Doctorado En Ciencias Ambientales,1
473,Doctorado En Ciencias Ambientales Y Desarrollo Sostenible,1
474,Doctorado En Ciencias Ambientales Y Energías Renovables,1
475,Doctorado En Ciencias Biológicas,1
476,Doctorado En Ciencias Biomédicas,1
477,Doctorado En Ciencias Con Mención En Bioquímica Y Biología Molecular,1
478,Doctorado En Ciencias Con Mención En Ecología Amazónica,1
479,Doctorado En Ciencias Con Mención En Energética,1
480,Doctorado En Ciencias Con Mención En Física,1
481,Doctorado En Ciencias Con Mención En Fisiología,1
482,Doctorado En Ciencias Con Mención En Matemática,1
483,Doctorado En Ciencias Con Mención En Microbiología,1
484,Doctorado En Ciencias Con Mención En Química,1
485,Doctorado En Ciencias Contables,1
486,Doctorado En Ciencias Contables Y Financieras,1
487,Doctorado En Ciencias De Enfermería,1
488,Doctorado En Ciencias De La Administración,1
489,Doctorado En Ciencias De La Computación,1
490,Doctorado En Ciencias De La Educación,1
491,Doctorado En Ciencias De La Ingeniería Mecánica Eléctrica,1
492,Doctorado En Ciencias De La Salud,1
493,Doctorado En Ciencias De La Salud Y Salud Pública,1
494,Doctorado En Ciencias De La Vida,1
495,Doctorado En Ciencias Del Desarrollo Social,1
496,Doctorado En Ciencias E Ingeniería,1
497,Doctorado En Ciencias E Ingeniería Ambientales Con Mención En Abastecimiento De Agua Y Saneamiento,1
498,Doctorado En Ciencias E Ingeniería Ambientales Con Mención En Desarrollo Sostenible,1
499,Doctorado En Ciencias E Ingeniería Ambientales Con Mención En Seguridad Industrial Y Salud En El Trabajo,1
500,Doctorado En Ciencias E Ingeniería Civil,1
501,Doctorado En Ciencias E Ingeniería Económica,1
502,Doctorado En Ciencias E Ingeniería Estadística,1
503,Doctorado En Ciencias Económicas Y Financieras,1
504,Doctorado En Ciencias Empresariales,1
505,Doctorado En Ciencias En Arquitectura,1
506,Doctorado En Ciencias En Enfermería,1
507,Doctorado En Ciencias En Investigación Epidemiológica,1
508,Doctorado En Ciencias En Salud Pública,1
509,Doctorado En Ciencias Gobernabilidad Y Gestión Pública Estratégica,1
510,Doctorado En Ciencias Matemáticas,1
511,Doctorado En Ciencias Materiales,1
512,Doctorado En Ciencias Químicas,1
513,Doctorado En Ciencias Sociales,1
514,"Doctorado En Ciencias Sociales, Gestión Pública Y Desarrollo Territorial",1
515,Doctorado En Ciencias Y Tecnologías Medioambientales,1
516,Doctorado En Ciencias: Educación,1
517,Doctorado En Ciencias: Enfermería,1
518,Doctorado En Ciencias: Ingeniería Mecatrónica,1
519,Doctorado En Ciencias: Protección Vegetal,1
520,Doctorado En Ciencias: Química,1
521,Doctorado En Ciencias: Salud Colectiva,1
522,Doctorado En Ciencias: Salud Pública,1
523,Doctorado En Comunicación Social,1
524,Doctorado En Comunicación Y Desarrollo,1
525,Doctorado En Contabilidad,1
526,Doctorado En Contabilidad Y Finanzas,1
527,Doctorado En Derecho,1
528,Doctorado En Derecho Penal Y Política Criminal,1
529,Doctorado En Derecho Y Ciencias Políticas,1
530,Doctorado En Didáctica De Las Ciencias,1
531,Doctorado En Economía,1
532,Doctorado En Economía Y Desarrollo Industrial,1
533,Doctorado En Economía Y Negocios Internacionales,1
534,Doctorado En Economía Y Políticas Públicas,1
535,Doctorado En Educación,1
536,Doctorado En Educación Ambiental,1
537,Doctorado En Educación Con Mención En Currículo Y Docencia,1
538,Doctorado En Educación Con Mención En Gestión Educativa,1
539,Doctorado En Enfermería,1
540,Doctorado En Epidemiología,1
541,Doctorado En Estadística Aplicada,1
542,Doctorado En Estadística E Informática,1
543,Doctorado En Estadística Matemática,1
544,Doctorado En Estadística Matemática Aplicada,1
545,Doctorado En Estomatología,1
546,Doctorado En Farmacia Y Bioquímica,1
547,"Doctorado En Filosofía, Mención Educación",1
548,Doctorado En Física,1
549,Doctorado En Gestión Empresarial,1
550,Doctorado En Gestión Estratégica,1
551,Doctorado En Gestión Pública,1
552,Doctorado En Gestión Pública Y Gobernabilidad,1
553,Doctorado En Gestión Universitaria,1
554,Doctorado En Gobierno De Organizaciones,1
555,Doctorado En Gobierno Y Políticas Públicas,1
556,Doctorado En Historia,1
557,Doctorado En Humanidades,1
558,Doctorado En Humanidades Con Mención En Estudios Sobre Cultura,1
559,Doctorado En Ingeniería Agroindustrial,1
560,Doctorado En Ingeniería Ambiental,1
561,Doctorado En Ingeniería Bioquímica,1
562,Doctorado En Ingeniería Civil,1
563,Doctorado En Ingeniería De Alimentos,1
564,Doctorado En Ingeniería De Procesos,1
565,Doctorado En Ingeniería De Sistemas,1
566,Doctorado En Ingeniería De Sistemas E Informática,1
567,Doctorado En Ingeniería En Energía,1
568,Doctorado En Ingeniería Industrial,1
569,Doctorado En Ingeniería Mecánica,1
570,Doctorado En Ingeniería Química,1
571,Doctorado En Ingeniería Química Ambiental,1
572,Doctorado En Ingeniería Química Y Ambiental,1
573,"Doctorado En Ingeniería, Mención Automatización, Control Y Optimización De Procesos",1
574,Doctorado En Investigación Clínica Y Traslacional,1
575,Doctorado En Literatura Hispanoamericana,1
576,Doctorado En Matemática,1
577,Doctorado En Matemática Aplicada,1
578,Doctorado En Medicina,1
579,Doctorado En Medio Ambiente Y Desarrollo Sostenible,1
580,Doctorado En Medio Ambiente Y Desarrollo Sustentable,1
581,Doctorado En Microbiología,1
582,Doctorado En Nutrición,1
583,Doctorado En Nutrición Y Alimentos,1
584,Doctorado En Obstetricia,1
585,Doctorado En Odontología,1
586,Doctorado En Planificación Pública Y Privada,1
587,Doctorado En Planificación Y Gestión,1
588,Doctorado En Producción Vegetal Y Ecosistemas Agroforestales,1
589,Doctorado En Psicología,1
590,Doctorado En Psicología Educacional Y Tutorial,1
591,Doctorado En Salud Pública,1
592,Doctorado En Seguridad Y Control En Minería,1
593,Doctorado En Seguridad Y Medio Ambiente,1
594,Doctorado En Sociología,1
595,Doctorado En Tecnologías De La Información Y Comunicaciones,1
596,Doctorado En Teología,1
597,E-Business (Virtual: Semipresencial),1
598,Ecología Aplicada,1
599,Economía,1
600,Economía (Virtual: Semipresencial),1
601,Economía Agraria,1
602,Economía Agrícola,1
603,Economía Con Mención En Banca Y Finanzas,1
604,Economía Con Mención En Comercio Y Finanzas Internacionales,1
605,Economía Con Mención En Economía Aplicada,1
606,Economía Con Mención En Economía Empresarial,1
607,Economía De Los Recursos Naturales Y Del Ambiente,1
608,Economía De Los Recursos Naturales Y El Desarrollo Sustentable,1
609,Economía Gerencial,1
610,Economía Internacional,1
611,Economía Pública,1
612,Economía Y Desarrollo,1
613,Economía Y Finanzas,1
614,Economía Y Gestión Ambiental,1
615,Economía Y Negocios Internacionales,1
616,Economía Y Políticas Públicas,1
617,Ecosistemas Y Recursos Acuáticos,1
618,Ecoturismo,1
619,Edificaciones Inteligentes Y Dirección De La Construcción,1
620,Educación,1
621,Educación Artística,1
622,Educación Artística Y Promotoria Cultural,1
623,Educación Básica Alternativa,1
624,Educación Básica Bilingüe Intercultural,1
625,Educación Básica: Inicial Y Primaria,1
626,Educación Con Especialidad De Agropecuaria,1
627,Educación Con Especialidad De Artes Industriales,1
628,Educación Con Especialidad De Automatización Industrial,1
629,Educación Con Especialidad De Biología-Ciencias Naturales,1
630,Educación Con Especialidad De Biología-Informática,1
631,Educación Con Especialidad De Ciencias Naturales,1
632,Educación Con Especialidad De Ciencias Sociales,1
633,Educación Con Especialidad De Ciencias Sociales-Filosofía,1
634,Educación Con Especialidad De Ciencias Sociales-Geografía,1
635,Educación Con Especialidad De Ciencias Sociales-Historia,1
636,Educación Con Especialidad De Ciencias Sociales-Psicología,1
637,Educación Con Especialidad De Construcción Civil,1
638,Educación Con Especialidad De Construcciones Metálicas,1
639,Educación Con Especialidad De Desarrollo Ambiental,1
640,Educación Con Especialidad De Diseño Industrial Y Arquitectónico,1
641,Educación Con Especialidad De Ebanistería Y Decoración,1
642,Educación Con Especialidad De Educación Artística-Artes Plásticas,1
643,Educación Con Especialidad De Educación Artística-Música,1
644,Educación Con Especialidad De Educación Artística-Teatro,1
645,Educación Con Especialidad De Educación Básica Alternativa-Educación Primaria,1
646,Educación Con Especialidad De Educación Física,1
647,Educación Con Especialidad De Educación Física-Deportes,1
648,Educación Con Especialidad De Educación Física-Edades Tempranas,1
649,Educación Con Especialidad De Educación Física-Poblaciones Especiales,1
650,Educación Con Especialidad De Educación Física-Recreación Y Deporte Para Todos,1
651,Educación Con Especialidad De Educación Inicial,1
652,Educación Con Especialidad De Educación Inicial-Discapacidad Intelectual,1
653,Educación Con Especialidad De Educación Inicial-Niñez Temprana,1
